2017-12-29 21:19:50.442 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.dao.UserDaoTest], using SpringBootContextLoader
2017-12-29 21:19:50.458 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.dao.UserDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-12-29 21:19:50.458 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.dao.UserDaoTest]: UserDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-12-29 21:19:50.708 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.dao.UserDaoTest
2017-12-29 21:19:50.724 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-12-29 21:19:50.755 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@71b1176b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6193932a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@647fd8ce, org.springframework.test.context.support.DirtiesContextTestExecutionListener@159f197, org.springframework.test.context.transaction.TransactionalTestExecutionListener@78aab498, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5dd6264, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1ffe63b9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@51e5fc98, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c469c48, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@12e61fe6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7ee955a8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1677d1]
2017-12-29 21:19:51.426 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - Starting UserDaoTest on Mick with PID 6092 (started by Administrator in E:\dev\seckill)
2017-12-29 21:19:51.426 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - No active profile set, falling back to default profiles: default
2017-12-29 21:19:51.488 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@1a18644: startup date [Fri Dec 29 21:19:51 CST 2017]; root of context hierarchy
2017-12-29 21:19:51.926 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2017-12-29 21:19:52.706 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2017-12-29 21:19:53.206 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-29 21:19:54.300 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@1a18644: startup date [Fri Dec 29 21:19:51 CST 2017]; root of context hierarchy
2017-12-29 21:19:54.395 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.controller.SampleController.thymeleaf(org.springframework.ui.Model)
2017-12-29 21:19:54.395 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-12-29 21:19:54.395 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-12-29 21:19:54.457 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-29 21:19:54.457 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-29 21:19:54.504 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-29 21:19:55.484 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2017-12-29 21:19:55.751 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - Started UserDaoTest in 4.84 seconds (JVM running for 6.542)
2017-12-29 21:19:56.225 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-12-29 21:19:57.161 [Thread-4] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@1a18644: startup date [Fri Dec 29 21:19:51 CST 2017]; root of context hierarchy
2017-12-29 21:19:57.271 [Thread-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-12-29 21:23:24.094 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.dao.UserDaoTest], using SpringBootContextLoader
2017-12-29 21:23:24.110 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.dao.UserDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-12-29 21:23:24.110 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.dao.UserDaoTest]: UserDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-12-29 21:23:24.329 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.dao.UserDaoTest
2017-12-29 21:23:24.345 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-12-29 21:23:24.392 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@163e4e87, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56de5251, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@419c5f1a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@12b0404f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@769e7ee8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5276e6b0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@71b1176b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6193932a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@647fd8ce, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@159f197, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@78aab498, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5dd6264]
2017-12-29 21:23:25.072 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - Starting UserDaoTest on Mick with PID 1120 (started by Administrator in E:\dev\seckill)
2017-12-29 21:23:25.074 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - No active profile set, falling back to default profiles: default
2017-12-29 21:23:25.132 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@3f6b0be5: startup date [Fri Dec 29 21:23:25 CST 2017]; root of context hierarchy
2017-12-29 21:23:25.685 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2017-12-29 21:23:26.423 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2017-12-29 21:23:26.936 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-29 21:23:28.131 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@3f6b0be5: startup date [Fri Dec 29 21:23:25 CST 2017]; root of context hierarchy
2017-12-29 21:23:28.195 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.controller.SampleController.thymeleaf(org.springframework.ui.Model)
2017-12-29 21:23:28.195 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-12-29 21:23:28.211 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
