2018-01-10 01:51:58.085 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.service.ProductServiceTest], using SpringBootContextLoader
2018-01-10 01:51:58.099 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.service.ProductServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-01-10 01:51:58.101 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.service.ProductServiceTest]: ProductServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-01-10 01:51:58.325 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.service.ProductServiceTest
2018-01-10 01:51:58.342 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-01-10 01:51:58.379 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56528192, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6e0dec4a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@96def03, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5ccddd20, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1ed1993a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1f3f4916, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@794cb805, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4b5a5ed1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@59d016c9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3cc2931c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@20d28811, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3967e60c]
2018-01-10 01:51:59.053 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - Starting ProductServiceTest on Mick with PID 5788 (started by Administrator in E:\dev\seckill)
2018-01-10 01:51:59.054 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - No active profile set, falling back to default profiles: default
2018-01-10 01:51:59.536 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@52af26ee: startup date [Wed Jan 10 01:51:59 CST 2018]; root of context hierarchy
2018-01-10 01:51:59.679 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2018-01-10 01:52:00.752 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
